movie,year,genre,youtube_title,youtube_url
Dohchay,2015.0,Action            ,Dohchay Theatrical Trailer | Naga Chaitanya | Kriti Sanon | Sunny MR | Sudheer Varma,https://www.youtube.com/watch?v=v2LK5HCUdIU
Kerintha,2015.0,"Drama, Romance            ","Kerintha Theatrical Trailer - Sumanth Ashwin, Sri Divya, Tejaswi Madivada",https://www.youtube.com/watch?v=GVZ08Wlzal8
Loafer,2015.0,"Action, Drama            ","Loafer Theatrical Trailer || Varun Tej , Disha Patani , Puri Jagannadh",https://www.youtube.com/watch?v=Ycc6ifLgCDY
Mosagallaku Mosagadu,2015.0,"Action, Comedy, Crime            ","Mosagallaku Mosagadu Theatrical Trailer - Sudheer Babu, Nandini",https://www.youtube.com/watch?v=BAVnY6K-InE
Gopala Gopala,2015.0,"Comedy, Drama, Fantasy            ","Gopala Gopala  New Trailer - Venkatesh, Pawan Kalyan",https://www.youtube.com/watch?v=VLthhz-ZotQ
Bandipotu,2015.0,"Comedy, Crime, Drama            ","Bandipotu Movie Theatrical Trailer || Allari Naresh, Eesha || Sri Balaji Video",https://www.youtube.com/watch?v=P18ixc59oD8
Akhil,2015.0,"Action, Fantasy            ","Akhil Theatrical Trailer || Akhil Akkineni, Sayyeshaa Saigal || VV Vinayak , Nithin",https://www.youtube.com/watch?v=jXXz-Jo9cu8
Subramanyam for Sale,2015.0,Comedy            ,"Subramanyam For Sale Theatrical Trailer - Sai Dharam Tej, Regina Cassandra",https://www.youtube.com/watch?v=8FidMPFxLec
Temper,2015.0,"Action, Drama            ","Temper Theatrical Trailer - Jr Ntr, Kajal Agarwal",https://www.youtube.com/watch?v=FTKD7gcEsVc
365 Days,2015.0,"Drama, Romance            ",365 Days: This Day | Official Trailer | Netflix,https://www.youtube.com/watch?v=pyM3z73oMAk
Jil,2015.0,Action            ,Jil Theatrical Trailer | Gopichand | Raashi Khanna | Ghibran,https://www.youtube.com/watch?v=Gkyvxp3AIHc
Bengal Tiger,2015.0,"Action, Comedy            ",Bengal Tiger Theatrical Trailer | Raviteja | Tamanna | Raashi Khanna,https://www.youtube.com/watch?v=GCvipxfEnJY
Pandaga Chesko,2015.0,"Action, Drama, Family            ","Pandaga Chesko Theatrical Trailer -   Ram, Rakul Preet Singh",https://www.youtube.com/watch?v=ubo1um5LwU8
Mama Manchu Alludu Kanchu,2015.0,"Action, Comedy            ",Mama Manchu Alludu Kanchu Latest Theatrical Trailer | Sri Balaji Video,https://www.youtube.com/watch?v=BnKiEf07kJ4
Srimanthudu,2015.0,"Action, Drama            ",Srimanthudu Theatrical Trailer | Mahesh Babu | Shruti Haasan | Srimanthudu Trailer Official,https://www.youtube.com/watch?v=EZGapI7yjh4
